alpha,beta,gamma,epsilon,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput,energy_per_job,cost_per_job,total_energy,total_cost
0.5,0.05,0.05,0.1,8.071536294607773,36.042169944607835,48.207393225604015,14.540386441305373,79.74541651203546,16.013661646019052,16.98647718157032,16013.66164601905,16986.477181570317
0.8,0.05,0.05,0.1,7.662647153457658,34.79102934658078,47.08786642188853,14.011199546731362,79.73957636100573,15.720203196722666,16.498631678540328,15720.203196722667,16498.63167854033
1.0,0.05,0.05,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.2,0.05,0.05,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.5,0.05,0.05,0.1,7.872550683909019,35.49956503932387,47.40303716331372,14.3058103738465,79.73957636100573,16.242655662378198,17.32734476638478,16242.655662378196,17327.34476638478
1.0,0.01,0.05,0.1,7.832346792062017,36.13607578563771,47.498591514715486,14.145418246908365,79.73957636100573,16.155188643098697,17.179037742751596,16155.188643098698,17179.037742751596
1.0,0.03,0.05,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.0,0.05,0.05,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.0,0.1,0.05,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.0,0.15,0.05,0.1,8.048647548621057,36.042169944607835,48.207393225604015,14.499885825334909,79.74541651203546,15.992217026550517,16.96454346287176,15992.217026550517,16964.54346287176
1.0,0.05,0.01,0.1,7.920961700235818,34.35946950145165,45.15698534976018,13.83998757554987,79.75433922019185,17.304879346981913,19.22500362559799,17304.879346981914,19225.00362559799
1.0,0.05,0.03,0.1,7.832346792062017,36.13607578563771,47.498591514715486,14.145418246908365,79.73957636100573,16.155188643098697,17.179037742751596,16155.188643098698,17179.037742751596
1.0,0.05,0.05,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.0,0.05,0.1,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
1.0,0.05,0.15,0.1,7.51947304852596,34.79102934658078,47.08786642188853,14.013749371276733,79.73957636100573,15.71394807028361,16.501071641195008,15713.94807028361,16501.07164119501
